Ticker,Current Price,Market Cap,P/E Ratio,Dividend Yield,Yahoo Rating,Market Index Rating
BEL.AX,0.013000000268220901,989662,,,,
BNZ.AX,1.1749999523162842,304132288,,,,
BEO.AX,0.23499999940395355,15884966,,,,
BKY.AX,0.5249999761581421,234043408,,,,
BEZ.AX,0.0430000014603138,34284288,,,,
BET.AX,0.17499999701976776,193135232,,,,
BBT.AX,0.2800000011920929,289783200,,,,
BWN.AX,0.5099999904632568,143103952,10.2,1.96,,
BHP.AX,40.970001220703125,210085560320,15.118081,4.17,,
BRI.AX,1.4199999570846558,122963480,,2.82,,
BIM.AX,0.10999999940395355,6407500,,,,
BGT.AX,0.02199999988079071,6711342,,,,
BIO.AX,0.47999998927116394,106995360,Infinity,,,
BIT.AX,0.003000000026077032,2997684,,,,
BXN.AX,0.0430000014603138,99904056,Infinity,,,
BIS.AX,5.5,273050816,13.75,4.45,,
BKI.AX,1.8250000476837158,1481091584,22.812502,4.38,,
BCA.AX,0.4300000071525574,57946800,,,,
BC8.AX,1.0800000429153442,765492160,,,,
BDG.AX,0.0820000022649765,25815896,,,,
BKT.AX,0.01899999938905239,32160158,,,,
BSX.AX,0.06599999964237213,113209800,,,,
BWF.AX,0.3499999940395355,63377300,,2.86,,
BLZ.AX,0.003000000026077032,8625000,,,,
BB1.AX,0.5350000262260437,67022128,,,,
XYZ.AX,114.22000122070312,70517719040,15.997199,,,
BLU.AX,0.007000000216066837,14900341,,,,
BNL.AX,0.006000000052154064,21891240,,,,
BSL.AX,22.3799991607666,10009073664,131.64705,2.68,,
BLG.AX,0.010499999858438969,26991098,,,,
BMG.AX,0.010499999858438969,9673680,,,,
BBC.AX,0.3100000023841858,36815292,31.0,,,
BOA.AX,0.02199999988079071,2713766,,,,
BML.AX,0.24500000476837158,68410864,,,,
BOD.AX,0.024000000208616257,4256112,,,,
BOL.AX,1.3200000524520874,54892204,2.357143,1.52,,
BOE.AX,2.0399999618530273,867185664,,,,
BTE.AX,0.06499999761581421,18149560,,,,
BOT.AX,0.13500000536441803,274585952,,,,
BOC.AX,0.6150000095367432,254674576,,,,
BUY.AX,0.003000000026077032,4684410,,,,
BCB.AX,0.07500000298023224,8081850,,,,
BPH.AX,0.013000000268220901,17055220,1.3000001,,,
BP8.AX,0.0020000000949949026,3152960,,,,
BPM.AX,0.08399999886751175,7333225,,,,
BRN.AX,0.20000000298023224,453884000,,,,
BXB.AX,25.580400466918945,36066267136,27.263157,2.4,,
BVS.AX,2.0299999713897705,910048960,11.941176,2.88,,
BCM.AX,0.02199999988079071,38767520,,,,
BRE.AX,3.109999895095825,772365312,,,,
BTM.AX,0.14499999582767487,9971752,,,,
BRG.AX,30.889999389648438,4547810816,33.215054,1.23,,
BKW.AX,36.15999984741211,5535987200,,2.03,,
BGE.AX,0.024000000208616257,4996488,,,,
BTR.AX,0.4749999940395355,275144672,,,,
BBL.AX,1.1749999523162842,115197704,14.6875,1.7,,
BGP.AX,5.5,1225345024,22.916668,3.72,,
BCK.AX,0.020999999716877937,232400688,,,,
BHM.AX,0.574999988079071,162552496,,,,
BRK.AX,0.36000001430511475,35085600,12.000001,,,
BYH.AX,0.004999999888241291,5142650,,,,
BSA.AX,0.10499999672174454,7906531,2.1,,,
BFL.AX,7.96999979019165,3899449856,9.488095,7.61,,
BTC.AX,0.06700000166893005,21796642,6.7000003,,,
BUS.AX,0.14000000059604645,8034320,,,,
BUB.AX,0.16500000655651093,147366448,16.500002,,,
BNR.AX,0.0689999982714653,20259296,Infinity,,,
BDM.AX,0.024000000208616257,34120800,,,,
BUR.AX,0.03400000184774399,6630034,,,,
BRU.AX,0.019999999552965164,17688200,,,,
BTN.AX,0.10499999672174454,39891600,,,,
BUX.AX,0.027000000700354576,9277363,,,,
BWE.AX,0.2800000011920929,40085360,,,,
BWP.AX,3.5999999046325684,2607764480,9.72973,5.25,,
C29.AX,0.014999999664723873,2787014,,,,
CDM.AX,0.6850000023841858,205469184,34.25,8.76,,
CDO.AX,1.7999999523162842,28306980,18.0,7.78,,
CCM.AX,0.04100000113248825,15207639,,,,
CXL.AX,0.41999998688697815,90193744,,,,
CMB.AX,0.5149999856948853,11769449,,,,
CHL.AX,0.4000000059604645,28957638,,50.04,,
CP8.AX,0.05400000140070915,16565094,,,,
CAN.AX,0.010999999940395355,7963362,,,,
CAE.AX,0.03700000047683716,34656608,,,,
CBY.AX,0.019999999552965164,4563699,,,,
CAY.AX,0.25999999046325684,464042784,,,,
CAA.AX,10.90999984741211,180934704,5.803191,3.67,,
CRS.AX,0.10000000149011612,67985208,,,,
CMM.AX,11.319999694824219,4903167488,30.594593,,,
CSC.AX,11.1899995803833,8529543168,74.59999,,,
CAQ.AX,0.008999999612569809,6460073,,,,
CAR.AX,39.349998474121094,14925454336,53.904106,2.11,,
CVV.AX,0.15000000596046448,85211256,,,,
CWX.AX,0.09000000357627869,21251250,,,,
CRB.AX,0.004999999888241291,5959349,,,,
CG1.AX,0.07500000298023224,31399802,,,,
CDX.AX,0.028999999165534973,16502421,,,,
CTQ.AX,0.012000000104308128,2845428,Infinity,,,
CDP.AX,5.46999979019165,452572480,11.395833,5.2,,
CIN.AX,35.029998779296875,924550272,23.829931,3.23,,
CNB.AX,0.3100000023841858,70800592,,,,
CVN.AX,0.09700000286102295,178908736,Infinity,,,
CAV.AX,0.004000000189989805,18406002,,,,
CCE.AX,0.05900000035762787,21605978,,,,
CCV.AX,0.3400000035762787,213365312,8.5,5.88,,
CPN.AX,0.06800000369548798,12180228,,,,
CMD.AX,0.029999999329447746,20826570,,,,
CST.AX,0.06400000303983688,19567936,,,,
CDT.AX,0.07500000298023224,10845750,,,,
CTN.AX,0.0035000001080334187,7278060,,,,
CYL.AX,8.220000267028809,2090535168,21.076925,,,
CAT.AX,6.400000095367432,1815628800,,,,
CXU.AX,0.008999999612569809,16102439,,,,
CVR.AX,0.27000001072883606,15617395,,,,
CAZ.AX,0.02500000037252903,12123875,,,,
CD1.AX,0.5899999737739563,21565208,29.5,,,
CD2.AX,0.7749999761581421,40671300,Infinity,,,
CD3.AX,1.184999942779541,87874616,4.557692,,,
CWP.AX,7.46999979019165,625455616,13.105263,5.09,,
CLA.AX,0.008999999612569809,28219410,,,,
CTM.AX,0.36000001430511475,199351808,,,,
CTP.AX,0.061000000685453415,45917752,Infinity,,,
CAF.AX,0.4699999988079071,93944536,23.5,6.38,,
CXM.AX,0.017000000923871994,14749303,,,,
CNI.AX,2.309999942779541,1942414208,23.099998,4.5,,
CIP.AX,3.3499999046325684,2122600192,15.952381,4.9,,
COF.AX,1.25,746670016,,8.08,,
CTT.AX,0.4699999988079071,179181872,,,,
CGR.AX,0.0560000017285347,6169688,,,,
